,Company Name,Industry,City,State,LIEmployees,Company Type,Description,Website,Specialties
29,Finisar Corporation (NASDAQ: FNSR),Telecommunications,Sunnyvale,CA,2396,Public Company,"Finisar Corporation is a global technology leader of fiber optic subsystems and components that enable high-speed voice, video and data communications for networking, storage, wireless, and cable TV applications. For nearly three decades, Finisar has provided critical optics technologies to system manufacturers to meet the increasing demands for network bandwidth.

 Finisar is headquartered in Sunnyvale, California, USA with R&D, manufacturing sites, and sales offices worldwide. For additional information, visit www.finisar.com. Stay up to date with Finisar by reading the Lightspeed blog and connect with us on Twitter, Facebook, and the Finisar YouTube Channel.

We have exciting opportunities available in California, Texas, and many other global sites!

We have an upcoming Job and Career Fair at our new facilities based in Sherman, Texas where we are hiring 500+ to join our Finisar team!  We also have two upcoming job fairs in Texas on Thursday, April 12, 2018.

Finisar – Sherman, Texas Job Fair | 6800 US HWY 75, Sherman, TX 75090
Friday, March 23, 2018 | 10:00 am – 3:00 pm

Workforce Solutions Texoma Career Fair | Hilton Garden Inn | 5015 US-75, Denison, TX 75020
Thursday, April 12, 2018 | 10:00 am – 4:00 pm

Collin College Job Fair| Collin College Conference Center | 9700 Wade Blvd., Frisco, TX 
Thursday, April 12, 2018 | 10:00 am – 2:00 pm
 ",http://www.finisar.com,['Global Technology Leader in Fiber Optic Components and Subsystems']
30,Spectrum Enterprise,Telecommunications,Stamford,CT,4806,Public Company,"Spectrum Enterprise, a part of Charter Communications, is a national provider of scalable, fiber-based technology solutions serving many of America's largest businesses and communications service providers. The broad Spectrum Enterprise portfolio includes Internet access, Ethernet access and networks, Voice and TV solutions extending to Managed IT solutions, including Application, Cloud Infrastructure and Managed Hosting Services offered by its affiliate, Navisite. Our industry-leading team of experts works closely with clients to achieve greater business success by providing these right-fit solutions designed to meet their evolving needs. For more information, visit enterprise.spectrum.com.",http://enterprise.spectrum.com,"['Fiber-Internet Access', ' Ethernet Access', ' Voice Solutions', ' Business TV', ' Managed IT Solutions', ' Cloud Infrastructure', ' and Managed Hosting Services']"
31,SpeedCast (formerly Harris CapRock Communications),Telecommunications,Houston,Texas,521,Public Company,"This page is no longer active. Please visit SpeedCast's LinkedIn page at http://www.linkedin.com/company/speedcast. 

Harris CapRock Communications is a premier global provider of fully managed, end-to-end communication solutions specifically for remote and harsh environments including the energy, government and maritime markets. Harris CapRock delivers trusted and reliable comprehensive communications and IT solutions that make it possible for clients to stay focused on their mission. 

Customers depend on Harris CapRock for its experience and proven capabilities including a local presence in 23 countries, more than 1,200 employees dedicated to remote communications and a robust self-owned and operated infrastructure that includes teleports on six continents, four 24/7 Network Operation Centers and an extensive terrestrial network. With over three decades of service to its industry customers in over 140 countries, Harris CapRock is the world’s largest provider of fully managed communications to extreme environments.

More information: www.harriscaprock.com
Find us on Facebook: www.facebook.com/HarrisCapRock",http://www.speedcast.com,"['VSAT Technology', ' Fully Managed Communications Solutions', ' Systems Integration', ' and Specialized Equipment']"
32,Fujitsu Network Communications,Telecommunications,Richardson,Texas,1780,Public Company,"Fujitsu Network Communications, Inc. is a trusted partner to a broad spectrum of customers across all industries, enabling them to realize the maximum value from their communications networks. We are a market-leading US-based manufacturer of network equipment and a top US patent-holder in optical networking technology. We combine the best wireline, wireless, and software technology with extensive multivendor services expertise to deliver custom, end-to-end network integration and management solutions. For more information, please see: http://us.fujitsu.com/telecom.",http://us.fujitsu.com/telecom,['Communications Network Solutions']
33,West Unified Communications Services,Telecommunications,Chicago,IL,2511,Public Company,"For more than 20 years, West has been leading the way in hosted and cloud-based solutions. We focus on four complementary components of the UC spectrum: Conferencing & Collaboration, Managed Voice, Network Services and Digital Media Services.

At West, we’re dedicated to a single proposition—making communication easy. Whether it’s coworkers across the office or partner firms around the globe, enabling that connectivity is the hallmark of our work. Our mantra? We Connect. We Deliver.

Every person on the West Unified Communications Services team is focused on providing solutions and services that make better connections and deliver real results—not just for our customers, but for our customers’ customers. When it comes down to it, if you can’t talk and share information internally or with people outside your company, your business isn’t going anywhere.

West is dedicated to shedding the jargon around unified communications and providing specific, concrete uses to those who benefit most. What’s that mean for you? We handle the complex stuff so you don’t have to. That’s why West dedicates so much time, energy and investment in the unified communications space.",http://www.westuc.com,"['Conferencing Services', ' Audio Conferencing', ' Video Conferencing', ' Web Conferencing', ' Webcasts', ' and Conferencing & Streaming Software']"
34,VIAVI Solutions,Telecommunications,San Jose,CA,3707,Public Company,VIAVI Solutions (NASDAQ: VIAV)  is a global leader in both network and service enablement and optical security performance products and solutions. Our technologies contribute to the success of a wide range of customers – from the world’s largest mobile operators and governmental entities to enterprise network and application providers to contractors laying the fiber and building the towers that keep us connected.,http://www.viavisolutions.com,"['Software and hardware platforms and instruments  for physical', ' virtual and hybrid networks and Anti-counterfeiting solutions for currency authentication']"
35,Nextiva,Telecommunications,Scottsdale,Arizona,742,Privately Held,"Headquartered in Scottsdale, AZ, Nextiva is one of the country's fastest-growing providers of cloud-based business communications solutions. We offer a simple approach that is radically altering the economics of one of the top operating expenses within an organization. We acquired our first customer in 2008, and today serve over 150,000 businesses across the United States. Our team consists of nearly 700 talented professionals that embrace Amazing Service®. Our team and our innovation define who we are, and our products are not a reaction to market trends, but rather, our innovation defines the direction of the market. In short, we are revolutionizing the way businesses communicate. Let’s do Amazing Service together! 

2013-2016 GetVoip - Voted #1 Communications Provider 
2014-2016 Voted a ""Top Company to Work for in Arizona""? 
2011-2015 Phoenix Business Journal - Voted a ""Best Place to Work""? 
2014-2015 Deloitte's Tech Fast 500 List - Fastest-growing tech company in Arizona, fastest-growing telecommunications company in the U.S.",https://www.nextiva.com,"['VoIP', ' Unified Communications', ' Sales', ' Hosted PBX', ' Internet Fax', ' Business VoIP', ' Business Analytics', ' Software Development', ' Customer Service', ' and Product']"
36,MetTel,Telecommunications,New York,NY,377,Privately Held,"MetTel is a leading provider of customized, integrated and managed communications solutions for enterprise customers. By converging all communications over a proprietary network, MetTel enables enterprise companies to easily deploy and manage technology-driven voice, data, wireless and cloud solutions nationwide. With the most comprehensive offering, the highest quality customer care and project management and the ability to completely manage, maintain and secure your communications needs, our portfolio of customer-centric solutions boosts enterprise productivity, reduces costs and simplifies operations. Combining customized and managed communication solutions with a powerful platform of cloud-based software, the company’s MetTel Portal® enables customers to manage their inventory, usage, spend and repairs from one simple, user friendly interface. MetTel was founded in 1996 and is headquartered in New York City. MetTel. Smart Communications Solutions.™ 

To learn more visit: www.mettel.net or email us: Career@mettel.net.

Connect with MetTel:
twitter.com/OneMetTel
google.com/+MetTelNet1
youtube.com/user/MetTelNet
facebook.com/MetTelNet",http://www.mettel.net,"['Voice', ' Data & Internet', ' Telecom Professional Services', ' Telecom Management Software Suite', ' Cloud Services', ' Wireless Services', ' and Mobile Solutions']"
37,Netcracker Technology,Telecommunications,Waltham,MA,5692,Public Company,"Netcracker Technology, a wholly owned subsidiary of NEC Corporation, is a forward-looking software company, offering mission-critical solutions to service providers around the globe. Our comprehensive portfolio of software solutions and professional services enables large-scale digital transformations, unlocking the opportunities of the cloud, virtualization and the changing mobile ecosystem. With an unbroken service delivery track record of more than 20 years, our unique combination of technology, people and expertise helps companies transform their networks and enable better experiences for their customers.",http://www.Netcracker.com,"['BSS/OSS - Business Support Systems & Operations Support Systems', ' Customer', ' Product', ' & Device Management', ' Telecom Operations and Management Solutions', ' Revenue Management', ' Resource Management', ' Service Fufillment & Assurance', ' Managed Services', ' and Rating & Charging']"
38,SeaChange International,Telecommunications,Acton,MA,871,Public Company,"Enabling our customers to deliver billions of premium video streams across a matrix of pay-TV and OTT platforms, SeaChange (Nasdaq: SEAC) empowers service providers, broadcasters, content owners and brand advertisers to entertain audiences, engage consumers and expand business opportunities. As a three-time Emmy award-winning organization with over 20 years of experience, we give media businesses the content management, delivery, measurement and analytics capabilities they need to craft an individualized branded experience for every viewer that sets the pace for quality and value worldwide. Visit www.schange.com.",http://www.schange.com,"['Multi-screen video software', ' IPTV', ' Advanced advertising', ' Mobile video', ' Home gateway', ' Set-top applications', ' Video-on-demand', ' and OTT']"
39,BroadSoft,Telecommunications,Gaithersburg,MD,1252,Public Company,"BroadSoft is the leading provider of software and services that enable mobile, fixed-line and cable service providers to offer Unified Communications over their Internet Protocol networks. The Company's core communications platform enables the delivery of a range of enterprise and consumer calling, messaging and collaboration communication services, including private branch exchanges, video calling, text messaging and converged mobile and fixed-line services. 

For additional information, visit http://www.BroadSoft.com.",http://www.broadsoft.com,"['Unified Communications', ' UCaaS', ' VoIP', ' and cloud communications and collaboration']"
40,CenturyLink (Formerly Qwest),Telecommunications,Monroe,LA,9816,Public Company,"On April 22, 2010, CenturyLink (CenturyTel, Inc., NYSE: CTL) and Qwest Communications (NYSE: Q) announced that their boards of directors approved a definitive agreement under which CenturyLink acquired Qwest in a tax-free, stock-for-stock transaction. 
CenturyLink CEO and President Glen F. Post III said of the acquisition, “We believe the combination of CenturyLink’s and Qwest’s employees, assets and service areas will provide us greater scale, scope and expertise and will provide significant benefits for shareholders, customers and our communities.  This combination will enhance our ability to deploy innovative IP products and high-bandwidth services to business customers, expand broadband availability and speed to consumers, and offer superior, differentiated video products.

Today, CenturyLink (NYSE: CTL) is the second largest U.S. communications provider to global enterprise customers. With customers in more than 60 countries and an intense focus on the customer experience, CenturyLink strives to be the world's best networking company by solving customers' increased demand for reliable and secure connections. The company also serves as its customers' trusted partner, helping them manage increased network and IT complexity and providing managed network and cyber security solutions that help protect their business.",http://www.centurylink.com,"['Communications', ' Hosting', ' Cloud and IT Services', ' Data Systems Management', ' Big Data Analytics', ' IT Consulting', ' Global Data Centers', ' and Managed Services']"
41,Mobileum,Telecommunications,Cupertino,CA,604,Privately Held,"Mobileum delivers analytics solutions that generate revenues, reduce costs and accelerate digital transformation for more than 600 communications service providers across 150 countries. Mobileum's mission is to both grow and protect existing CSP revenue streams, as well as drive new revenues through business model innovation. We focus on specific domains including roaming, counter fraud and security, data monetization and digital transformation.  Mobileum’s success is built on its unique technology which combines analytics and engagement platforms with deep network and CSP systems integration to deliver end to end solutions. Mobileum is based in Silicon Valley California, with offices across the globe. ",https://www.mobileum.com,"['Telco Big Data Analytics', ' Traveler Analytics', ' Mobile Roaming', ' Data Monetization', ' Mobile Virtual Network Enablement', ' WiFi Roaming', ' Active Testing', ' LTE Roaming', ' CEM - Customer Experience Management', ' and M2M']"
42,Noble Systems,Telecommunications,Atlanta,Georgia,436,Privately Held,"Noble Systems Corporation is a global leader in customer contact technology, offering the industry's most comprehensive and cost-effective technology platforms for Contact Center, Workforce Engagement, and Analytics. Our solutions for sales, collections, and customer relationship management enable companies to make more contacts, improve efficiencies, and increase revenues.

Noble Systems specializes in providing companies with flexible contact center solutions tailored to meet each client’s unique business needs, whether they are large enterprise, mid-size, or small organizations. Tens of thousands of agents at 4,000+ client sites around the world use Noble solutions to direct their contact activities, managing millions of customer interactions every day through our platform of ACD, predictive dialing, unified contact processing, and omnichannel communications systems. Our Analytics and WEM tools add further value by turning big data into revenue, providing business intelligence to build more effective campaign strategies, analyze real-time results, use resources more efficiently, and improve the customer experience.

At Noble Systems, we succeed through our clients'? success. Since 1989, our premise, cloud and innovative premise/cloud hybrid solutions have been helping companies increase productivity, improve efficiency, and reduce operational costs, so they can achieve new levels of performance and revenue.",http://www.noblesystems.com,"['Contact Center Solution Provider', ' Sales Automation', ' Collections Technology', ' salesforce.com', ' Data Analytics', ' and Inside Sales']"
43,Empirix,Telecommunications,Billerica,MA,368,Privately Held,"Empirix is the recognized leader in end-to-end network performance visibility with the unique ability to analyze customer behaviors by application in real-time. We empower service providers, mobile operators, contact centers and businesses to master complexities and optimize business processes to reduce operational costs, maximize customer retention, and grow top-line revenue. Through testing, monitoring, analytics, and intelligence, Empirix enables companies around the world realize the full value of their technology investments.

Since 1992, the world’s largest Telecommunication and Service Providers, as well as IT and Enterprises have known that they can trust us to offer the clarity they require to understand and even forecast the customer experience. Empirix has deep knowledge about complex customer communication technologies – voice, video, mobile, web, fax, IM, presence, unified communications, IP technologies, VoIP, IMS, NGN, and more. We supply a single, integrated architecture that enables data sourcing, collection, aggregation, analysis, information generation, and presentation to work together in harmony. Our commitment to quality in everything we do sets the standard for the industry. 

Empirix is privately held and headquartered in Billerica, MA.",http://www.empirix.com,"['Service Quality Assurance', ' IP Communications Quality', ' Unified Communications Quality', ' Voice Quality', ' Performance Testing', ' Performance Monitoring', ' Network Monitoring', ' IMS Testing', ' VoIP and IVR Testing', ' VoIP Monitoring', ' Predictive Analytics', ' and Contact Center Performance']"
44,Comlinkdata,Telecommunications,Boston,MA,42,Privately Held,"Real-Time Market Data and Analysis for the Telecom Industry

Comlinkdata is the leading provider of real-time market data and analysis for the telecommunications industry. Using proprietary data methodologies, Comlinkdata can observe the behaviors of telecom consumers in real-time, to empower our clients to make better operational and strategic decisions. Based in Boston with development offices in Montreal, the Comlinkdata team is comprised of data architects and scientists, product designers and telecom industry thought leaders.",http://www.comlinkdata.com,"['Data Analytics', ' Big Data', ' Telecom Market Data', ' Customer Segmentation', ' Consumer Behavior', ' Wireline Markets', ' and Wireless Markets']"
45,Openwave Mobility,Telecommunications,Redwood City,California,131,Privately Held,"Openwave Mobility empowers mobile operators to manage and monetize video traffic using the industry’s most scalable, Layer7 SDN/NFV platform.  Openwave Mobility delivers Video Optimization, Subscriber Data Management and Targeted Ad Insertion. Together these eliminate RAN congestion, maximize value from subscriber data and create new revenue opportunities.

Openwave Mobility delivers over 40 billion transactions daily and over half a billion subscribers worldwide use data services powered by its solutions. The company’s global customer base consists of over 40 of the largest communication service providers including AT&T, Du, KDDI, Rogers, Sprint, Telus, T-Mobile, Telefonica, Telstra, Virgin Mobile & Vodafone. Openwave Mobility is owned by Marlin Equity Partners, a leading investment firm with over a billion dollars of capital under management that has publicly committed to building the company through expanded investment in R&D. The company has built a robust portfolio of Intellectual Property, which is growing month by month.",http://www.owmobility.com,"['Mobile Video Optimization', ' Mobile Data Charging', ' Subscriber Data Management', ' Mobile Data Analytics', ' Mobile Network Optimization', ' and Policy Control and Charging']"
46,Verveba Telecom,Telecommunications,Richardson,TX,246,Privately Held,"Verveba Telecom delivers strategic outsourcing services to fixed and mobile operators on a global basis. We manages the network design, deployment, operations and maintenance activities for a Cellular Service Providers and OEMs.

Working with clients around the world, Verveba Telecom has developed a proven framework and approach aimed at evaluating outsourcing as a strategic platform. 

Verveba Telecom offers a complete outsourcing value proposition. At Verveba Telecom, it is a simple MANTRA: ”We want to make a living by helping you earn more at better QUALITY

We innovate and find economies of scale to make it a win-win deal for both our customers and partners. 

Our Operations Outsourcing, Professional Solutions and Innovation and Research for the Telecom and IT domain are the most comprehensive in the world and our strong Program management pulls all of these complex activities together to “IMPROVE OPERATIONAL EFFECIENCY”. 

For more information, please visit or contact us  at www.verveba.com.",http://www.verveba.com,"['Network Engineering Services', ' DAS Engineering Services', ' Network Implementation Services', ' RAN Services', ' 5G', ' Internet of Things (IoT)', ' Network Testing & Management', ' C-RAN', ' Data and Analytics', ' LP-WAN', ' LTE Advanced', ' Small Cells', ' WI-Fi', ' Adaptive Antennas', ' and LoRa']"
47,Subex,Telecommunications,Bangalore,Karnataka,1348,Public Company,"Subex Ltd. is a leading telecom analytics solutions provider, enabling a digital future for global telcos.

Founded in 1992, Subex has spent over 25 years in enabling 3/4th of the largest 50 CSPs globally achieve competitive advantage. By leveraging data which is gathered across networks, customers, and systems coupled with its domain knowledge and the capabilities of its core solutions, Subex helps CSPs to drive new business models, enhance customer experience and optimise enterprises.
Subex leverages its award-winning analytics solutions in areas such as Revenue Assurance, Fraud Management, Asset Assurance and Partner Management, and complements them through its newer solutions such as IoT Security. Subex also offers scalable Managed Services and Business Consulting services.

Subex has more than 300 installations across 90+ countries.",http://www.subex.com,"['Telecom software products', ' Fraud Management', ' Revenue Assurance', ' Cost Management', ' Interconnect Billing', ' Credit Risk Management', ' Business Optimisation', ' Capacity Management', ' Data Integrity Management', ' Analytics', ' Managed Services', ' Asset Lifecycle Management', ' Network Asset Management', ' Partner Management', ' Business consulting', ' IoT Security', ' Consulting and Advisory Services', ' Telecom Fraud Management', ' and Telecom Analytics Solution Provider']"
48,Redknee,Telecommunications,Mississauga,Ontario,937,Public Company,"Redknee monetizes today's digital world for communications service providers. Our market-leading portfolio of monetization and subscriber management solutions includes real-time billing, charging, policy and customer care modules and is available on premise, cloud-based, or as Software-as-a-Service. 

With a central focus on driving customer success, Redknee's products power growth and innovation for operators globally. Established in 1999, Redknee Solutions Inc. (TSX: RKN) can be found on the Toronto Stock Exchange. For more information about Redknee, please go to www.redknee.com.",http://www.redknee.com,"['converged billing', ' real-time', ' data & analytics', ' wireless', ' mobile', ' voice', ' sms', ' isp', ' wimax', ' IMS', ' next generation', ' prepaid', ' postpaid', ' policy', ' charging', ' content settlement', ' interconnect', ' wholesale billing', ' telecom', ' and cloud']"
49,"Nexgen Wireless, Inc.",Telecommunications,Schaumburg,IL,68,Privately Held,"Nexgen Wireless Inc, is a leading developer of network performance analysis tools and consulting services for the wireless industry. The management team combines highly experienced engineering talent with deep IT industry expertise to provide clients with revolutionary ways to process, store and present performance data for the wireless industry. Nexgen is on a steady growth path in the U.S. and globally, making the fastest-growing business in America, by the Inc. 5000 list four years in a row.",http://www.nexgenwireless.com,"['wireless services', ' wireless systems analytics', ' and Wireless Systems Planning', ' Depoyment', ' and Optimization']"
50,Call-IT,Telecommunications,Weert,Limburg,247,Privately Held,"Call-IT is specialised in extending a broad package of knowledge-intensive Customer Care services. Active from six locations in the Benelux, Call-IT deals with more than 5.5 million contacts every year (B2B as well as B2C) within various branches of industry, with the goal to handle all the customer contacts in a professional way.

All locations: Eindhoven (NL), Weert (NL), Groot Bijgaarden (Dilbeek)(B), Brouckère (B), Sint Denijs Westrem (B) and Oostende (B), are interconnected as a result of which, one big virtual service has arisen with approximately 550 employees.

Call-IT, as general and technical call centre, (Eindhoven, Weert, Oostende and Groot-Bijgaarden) is a specialist in a whole range of services in the field of customer contact. Over the years, however, Call-IT has built a long-lasting reputation within the in-house call centre world and in the field of posting and training. We are outstanding in customer contact tasks which requires above-average knowledge of the contents. Because of the complexity of the tasks, the basis of the co-operation if formed with a durable partnership from both parties. Our partners are located in the following sectors: telecommunication, public and public utility companies, banking and insurance, retail and entertainment, computer hardware and software suppliers, ICT sector and FMCG",http://www.call-it.com,"['Customer Care Contact Center', ' Helpdesk', ' Outbound Telemarketing', ' Inbound Telesales', ' Lead Generation', ' Appointment Scheduling', ' Sales Improvement Trajects', ' Client Surveys', ' and Customer Journey']"
51,TransPerfect,Translation and Localization,New York,NY,3736,Privately Held,"The world's best businesses know that potential customers can be anywhere. TransPerfect helps our clients to BE EVERYWHERE. With global headquarters in New York and offices in 90 cities across 6 continents, TransPerfect is the world's largest privately held provider of language services and related technologies. 

The TransPerfect family of companies offers a full range of language and business solutions, including:

- Translation and Language Services
- Website and Software Localization
- Globalization management Technology
- Multicultural Marketing
- Legal Support and E-Discovery
- E-Learning Platform Internationalization
- Multimedia  and Studio Solutions
- Interpretation and Call Center Support

For more information, visit: www.transperfect.com",http://www.transperfect.com,"['Translation', ' Language Services', ' Translation', ' Multicultural Marketing', ' Recruiting & Staffing', ' Multimedia Services', ' Interpretation', ' Call Center Support', ' Software Localization and Testing', ' Training and e-Learning', ' and Legal Support Services']"
52,Lionbridge,Translation and Localization,Waltham,MA,3806,Privately Held,"Lionbridge is the world’s largest language services provider offering industry-leading translation and localization services and highly scalable global marketing solutions. We help organizations achieve international success through exceptional customer service, the most advanced technologies, and the industry’s largest and most sophisticated network of professional translators. 

We also provide global solutions for marketing campaign management, customer support, product testing, and technical writing services. Our experience is unmatched and our clients remain loyal because we produce results and bring clarity to the complicated process of going global.",https://www.lionbridge.com/,"['Translation', ' Localization', ' Global Marketing', ' Product Engineering Services', ' Technical Writing', ' eLearning Services', ' Interpretation', ' and Global Testing']"
53,Welocalize,Translation and Localization,Frederick,MD,1133,Privately Held,"Welocalize enables brands to reach and grow global audiences in over 200 languages through solutions for translation, localization, adaptation, and automation. Delivering multilingual content that accelerates global business performance is at the heart of what we do. For over 20 years, Global 2000 companies across different industries have trusted Welocalize to support global marketing communications, international product launches, and cross-border commercial operations. Our secure, technology-enabled operations ensure efficiency at global scale, speed and value.

• Global team of 1,500+ 
• Offices in North America, Europe and Asia 
• Quality Certifications: ISO 9001:2015, ISO 13485, ISO 17100 
• Accredited professional translators and interpreters for 200+ languages

www.welocalize.com",http://www.welocalize.com,"['translation', ' localization', ' globalization', ' technology', ' machine translation', ' staffing', ' language automation', ' transcreation', ' content marketing', ' global marketing', ' technical documentation', ' website translation', ' hardware and software testing', ' and industry translation']"
54,Globalization Partners International,Translation and Localization,Vienna,VA,28,Privately Held,"Globalization Partners International (GPI) is a leading provider of software, website and documentation translation and localization services. GPI provides translation services into over 100 different languages including Arabic, Chinese, French, German, Italian, Japanese, Portuguese, Russian and Spanish.

GPI has provided comprehensive website localization services for some of the highest-profile AND highest-traffic multilingual web properties ever launched including McDonald’s Olympic Games GoActive Site into six languages, Boeing’s worldwide promotional site for their new aircraft into five languages and the Live Earth 2007 Concerts into 19 languages, which was the most-watched entertainment event in online history!

Visit www.globalizationpartners.com.",http://www.globalizationpartners.com,"['Translation Services', ' Document Translation', ' Website Translation', ' Social Media Localization', ' Software Translation', ' Global Search Engine Marketing', ' Desktop Publishing', ' Audio/Video Translation', ' and Globalization Consulting Services']"
55,ZOO Digital Group plc,Translation and Localization,El Segundo,CA,678,Public Company,"We showcase, localize and distribute the movies and TV shows the world wants to see. All powered by awesomeness.

We help Hollywood studios, global broadcasters, online retailers and independent distributors reach audiences everywhere. Securely and efficiently. 

We combine our world-class cloud technology with amazing client teams in the UK and US, some of the most talented in-territory translators in the industry and a growing network of trusted local partners - to deliver awesome results for our clients. 

You’ll find us in the entertainment centres of LA and London and the digital hub of Sheffield.",http://www.zoodigital.com,"['Subtitling', ' captioning and dubbing services', ' Cloud-based creative process management', ' Post-production software and services', ' and iTunes LP/ Extras package creation']"
56,Translated,Translation and Localization,Rome,Latium,520,Privately Held,"TRANSLATED is a leading Language Service Provider, based in Rome, Italy.

TRANSLATED was founded in 1999 by a linguist and a computer scientist with the aim of integrating technology into the overall translation process to increase the quality of human translation while reducing its turnaround time and cost. Technology is at the basis of the company’s everyday commitment towards supporting their clients’ business needs from a linguistic standpoint. 

TRANSLATED has created MyMemory, the world’s largest translation memory that combines machine translation with over a billion human contributions. TRANSLATED uses MyMemory to increase the quality and speed of translation by suggesting sentences that have already been translated to translators. 

TRANSLATED is focused on serving start-ups, large businesses and web 2.0 companies that need to speed-up their globalization processes. Customers include Google, IBM, Hewlett-Packard and thousands of fast growing start-ups. TRANSLATED grew organically into a multimillion-dollar business with a $100 investment and without VC funding or debt.",http://www.translated.net,"['Translation', ' Web and Software Localization', ' Localization', ' MT Post Editing', "" Translated developed the world's largest Translation Memory"", ' and Translation API']"
57,C.R. England,Transportation/Trucking/Railroad,Salt Lake City,Utah,1611,Privately Held,"C.R. England is one of the largest temperature-controlled carriers in the nation dedicated to providing a comprehensive range of transportation solutions to meet the requirements of a rapidly evolving customer base. As a family-owned, customer and employee focused corporation since 1920, we are driven to maintain our leadership role through time-tested services, technology and processes.  Our entrepreneurial culture and values enable us to expand reliable services while keeping our commitments to public safety, social responsibility and financial stability. 

C.R. England serves its customers through the following business units:

    * National – Long-haul truckload service
    * Mexico – International inbound and outbound services
    * Regional – Short haul truckload service positioned in the West, Midwest, and Texas and surrounding areas
    * Dedicated – Dedicated contract carriage and transportation management
    * Intermodal – Expedited priority rail service using TempStack refrigerated containers
    * England Logistics – see England Logistics http://www.linkedin.com/company/1189119?trk=tyah

C.R. England is united against childhood hunger. We are in partnerships with local food banks that aid in fighting childhood hunger. Our team volunteers with mobile food pantries, food bank deliveries, and kids'? cafes to help fight the cause. With every one load delivered by a C.R. England, one child is fed. Our goal is to help feed one million children per year. For more information on this important cause, please visit https://www.crengland.com/one-initiative. ",http://www.crengland.com,"['Refrigerated Long Haul & Regional Freight', ' Refrigerated Intermodal Container Freight', ' Dedicated Contract Carriage', ' and Freight Brokerage (See England Logistics)']"
58,GE Transportation,Transportation/Trucking/Railroad,Chicago,IL,5493,Public Company,"At GE Transportation, we move the world. We are a global digital industrial leader and supplier to the rail, mining, marine, stationary power and drilling industries. Our solutions help customers deliver goods and services with greater speed and greater savings using our advanced manufacturing techniques, industry expertise and connected machines.
 
Established more than a century ago, GE Transportation is a division of the General Electric Company that began as a pioneer in passenger and freight locomotives. That innovative spirit still drives GE Transportation today.

It's the engine of change that puts us at the forefront of transportation technology, software, and analytics. And it's why we continue to find-and realize-the potential that keeps our connected world moving forward.
 
The GE Transportation Global Headquarters is located at 500 W. Monroe St. Chicago, IL 60661 USA. There are over 65 service sites worldwide.
 
For more information, visit www.getransportation.com.",http://www.getransportation.com/,"['Rail Services', ' Mining', ' Marine', ' Drilling', ' Stationary Power', ' RailConnect 360', ' Locomotives', ' and Digital Solutions']"
59,Cubic Transportation Systems,Transportation/Trucking/Railroad,San Diego,CA,751,Public Company,"At Cubic Transportation Systems, we believe that to take the right path, you sometimes have to create it. That’s why, even though we helped revolutionize the transportation industry, we’re dedicated to reinventing it.

We are the leading integrator of payment and information solutions and related services for intelligent travel applications. Cubic delivers integrated systems for transportation and traffic management, delivering tools for travelers to choose the smartest and easiest way to travel and pay for their journeys, and enabling transportation authorities and agencies to manage demand across the entire transportation network – all in real-time.

Every year, more than 24 billion transportation payment transactions are processed using Cubic payment and information systems worldwide. Cubic has delivered over 20 regional back office operations which together integrate over 450 transport operators and serve over 38 million people every day in major markets around the world.",http://cubic.com/transportation,"['Traffic Management', ' Revenue Management', ' Fare Collection', ' Tolling', ' Data and Analytics', ' Real-Time Passenger Information', ' Mobile', ' Transport Ticketing', ' Mobility as a Service', ' RTPI', ' and NextBus']"
60,Trucking Advantage LLC,Transportation/Trucking/Railroad,Dallas,TX,47,Privately Held,"Trucking Advantage is a mobile software producer and online resource, seeking to empower new and existing trucking companies to be successful by providing technological solutions, easily accessible information, and value-added services. Visit us on the web or follow us on Twitter to find out more.",http://www.truckingadvantage.com,"['Start a trucking business', ' government compliance', ' operations management', ' computer technology', ' sales', ' marketing', ' financial', ' small business consulting', ' and mobile software']"
61,Ingram Micro Lifecycle Services,Wireless,Plainfield,Indiana,1345,Public Company,"Ingram Micro Mobility enables the world’s most prominent technology equipment manufacturers, carriers, network operators and retailers to navigate smoothly through the complexities of the wireless industry, helping them capture market share and realize greater profitability. As a leading provider of wireless device lifecycle services, the company delivers a strategic suite of end-to-end supply chain and customization solutions that help customers:

•	Expand into new channels and markets for increased profitability,
•	Achieve faster responsiveness and greater flexibility to drive customer satisfaction, and 
•	Lower cost structure to ensure greater efficiency.

Ingram Micro Mobility’s position at the center of the mobile ecosystem provides customers with unique industry access and expertise at every phase of the device lifecycle. The company’s multi-disciplinary collaboration of planners, transportation and warehouse managers, industrial and software engineers, and finance teams helps create the optimal mix of services and solutions for each customer. This ranges from basic warehousing to software loading, order and accounts receivable management to end-user fulfillment, and reverse logistics, including wireless device repair, refurbishment and recycling services.

Formerly known as BrightPoint, Ingram Micro Mobility became a wholly-owned Ingram Micro Inc. subsidiary in 2012. Ingram Micro Inc., a Fortune 100 company serving more than 200,000 resellers, is the world’s largest wholesale technology distributor and a global leader in IT supply-chain, mobile device lifecycle services and logistics solutions.

For more information on Ingram Micro Mobility, visit ingrammicro.com/mobility, Twitter at Twitter.com/IM_Mobility or Facebook at Facebook.com/IngramMicroMobility.",http://www.ingrammicro.com/mobility,"['Device Lifecycle Services', ' Third Party Logistics', ' Supply Chain Management', ' and Device Recovery Services']"
